Question	Answer
Are you computer savvy?	I've taken multiple coding classes in my free time.
Do you want to meet for dinner?	I am on a diet.
Would you like to be outdoors?	As long as I'm near to the ground.
Do you prefer an office job?	Always an office job
Do you like slow songs?	Ambient music is very chill.
Can I get you a beer?	I prefer drinking wine.
Looking forward to the weekend?	I can;t wait
Will you have a roommate?	I surely hope I don't have to.
Will you have to share the flat with anyone?	It depends of the cost of the flat.
Are you interest in current science fiction books?	I prefer to read Trudi Canavan novels.
Have you looked into the housing costs?	They're steeper than I'd like.
Have you spoken to your colleagues?	My job is very social.
Will you have along commute?	I'll be living very close to the job.
Do you manage people at your current position?	I have one shift as team lead.
Have you enough money to afford this flat ?	I've been saving for a few years.
Do you mind being in crowded places?	Being around a lot of people makes me feel comfortable.
Do you like to read?	I am always reading
Is disk golf fun to you?	I play it a lot in the summer.
Would you like a large building?	That's not my preference.
Would you say you like Tapas?	Never had them.
What's your favorite type of cuisine?	I like Italian the best
Would you like to go see live music?	I do not like listening to music.
Are you into theater?	Now and again I am
Shall we going shopping?	I need to go to sleep right now.
Would you like to grab a coffee together?	I could really go for some Starbucks.
Do you want to be outside?	I would like to go biking.
Is the building a high-rise?	It's only 3 stories.
Do you have to travel far?	It's 10 minutes from my house.
Are you originally from this town?	I was born a thousand miles away.
Have you been travelling?	I've been in Asia.
How about we go get a drink together?	I actually have a date this evening.
Do you have to travel frequently?	I never leave the office.
do you like museums?	I find them very boring.
Can you remember something that you absolutely loved reading?	I couldn't put The Hobbit down.
Have you had any interviews?	I've been to 4 so far.
Do you work during the day?	My shifts are 9 to 5.
Are you glad you came back in town?	I never should have returned.
Have you ever been to a different country?	I'm from Japan.
Can I buy you a drink?	I don't drink.
Are there parks and amenities close to the flat you are considering?	It is a requirement for any property I would purchase.
Did all of your luggage arrive?	I think it has
Do you want to go grab a Brooklyn style pizza?	Pizza would be great right now.
Did you remember an umbrella?	I don't mind getting wet.
Are you looking specifically downtown locations?	I've searched all over town.
Do you have difficulty completing all your assigned work?	There's never enough time in the day.
Did you enjoy eating vegetables growing up as a kid?	When they were served with lots of ketchup.
Would you be interested in seeing a comedy show?	If it's gotten good reviews.
Do you have to work your other job this weekend?	I'm waiting to hear from the boss
Do you like wood working?	I have never tried that.
Do you want a lift home?	that would be great
Have you gone hiking around?	I love walking among the mountains.
Have you ever been to a music festival?	I prefer to listen to music online.
Did you read a lot when you were a kid?	I was a voracious reader when I was young.
Have you found a better job?	I am still looking.
Have you tried the new restaurant around the corner?	Their tacos were kind of bland.
Have you researched the areas you are interested in?	I've got a chart.
Did you enjoy playing board games growing up as a kid?	I had lots of board fames
Do you like Romance Novels?	I'm more murder/mystery reader.
Do you live far from here?	I can walk here.
Do you like live theater?	It's not my kind of thing.
Do you like cookies?	I sure do
Do you enjoy traveling?	If it's first class.
Are you reading anything right now?	I am currently reading an Italian grammar book in English.
Fancy a bite to eat at the Indian restaurant up the road ?	I have to be in the mood for Indian food
Do you like to ski?	This is something I've always been to afraid to do.
Want to get some dinner together?	I would like that
Are you caught up with your work?	I finished this morning.
Do you eat here often?	I come here once a week.
Did your day go well?	We did great.
Do you live around here	I live around the corner from here
Do you like books with movie remakes?	If they are classics and not contemporary books.
Do you want to play some videogames?	Videogames are kind of childish.
Do you watch sports?	Sports aren't my thing.
Are you planning on living here for a long time?	I want to be here until I retire.
Does a long novel sound good?	As long as the story is good
Are you available to move in April?	I think I might be
Did you get your new office?	I wish I had
Did you like the Harry Potter series?	I couldn't put it down!
Did you working in a corporate environment?	I like a more relaxed atmosphere.
Did you sleep on your way here?	I kept getting woken up by turbulence.
Was your flight on time?	It was delayed.
Do you get on with your colleagues?	We go out every Friday after work.
Do you need space to park a car?	I won't have a car.
Have you gone to Coachella?	I haven't been to a music festival in years.
Are you willing to spend more than $20?	I can spend up to $100.
Is the building a high-rise?	It's actually just two floors.
Did you guys have a productive week?	I think we accomplished a lot.
Do you go to outdoor concerts?	If the weather permits.
Do you have a job you enjoy?	I'm really passionate about what I do.
Do you still listen to Lady Gaga?	Not if I can help it.
Did you go to university after school ?	I got my degree last year.
Is it a more senior position?	A little bit higher than the last one
Have you seen any live bands lately?	There hasn't been anyone I've wanted to see.
Did you get enough sleep?	just about enough
How often do you eat spicy food?	I eat it every day.
Have you ever been to a different country?	My family took vacations to Mexico.
Would you want a personal office?	In a ideal world
How is the family doing?	They're tired of me.
Are you hungry?	I just ate before I came here.
Have you tried the Kahiti Golf course?	The back nine is really tricky
Do you want to shop at the mall?	I'm not a fan of shopping malls.
Are you going to take any new courses to better your chances?	I'm going to night school.
Have you ever been skating?	not for years
Did you find my house alright?	I got turned around a few times.
Are you okay to eat spicy food?	When it's hot I can't taste the flavour.
Do you attend concerts?	I go to a show every week.
Have you lived in the area long?	We've been here 20 years.
